prov_id,cons_id,turn_out,percent_turn_out,counted_vote_stations,percent_count,pause_report
ACR,ACR_1,105574,72.60136,310,100,FALSE
ACR,ACR_2,111813,71.7035,331,100,FALSE
ATG,ATG_1,89756,80.19872,239,100,FALSE
ATG,ATG_2,91466,81.13075,253,100,FALSE
AYA,AYA_1,110317,79.55591,226,100,FALSE
AYA,AYA_2,106945,83.65404,223,100,FALSE
AYA,AYA_3,107898,82.51101,197,100,FALSE
AYA,AYA_4,113956,84.83351,201,100,FALSE
AYA,AYA_5,107230,80.72968,213,100,FALSE
BKK,BKK_1,94407,68.63767,239,100,FALSE
BKK,BKK_10,104097,75.8719,185,100,FALSE
BKK,BKK_11,102613,76.50265,166,100,FALSE
BKK,BKK_12,106410,76.88195,175,100,FALSE
BKK,BKK_13,100382,75.75714,190,100,FALSE
BKK,BKK_14,101871,73.29218,191,100,FALSE
BKK,BKK_15,95935,75.34123,180,100,FALSE
BKK,BKK_16,101785,77.46313,161,100,FALSE
BKK,BKK_17,85830,74.77002,140,99.29078,FALSE
BKK,BKK_18,83350,71.38025,134,93.05556,TRUE
BKK,BKK_19,101228,75.95195,185,100,FALSE
BKK,BKK_2,96992,68.92993,229,100,FALSE
BKK,BKK_20,90262,73.70312,167,100,FALSE
BKK,BKK_21,99180,75.28065,180,100,FALSE
BKK,BKK_22,97065,73.42173,200,100,TRUE
BKK,BKK_23,105969,72.99397,226,100,FALSE
BKK,BKK_24,103082,71.50577,230,100,FALSE
BKK,BKK_25,92942,74.05265,161,100,FALSE
BKK,BKK_26,101311,73.06328,187,100,FALSE
BKK,BKK_27,101144,75.68563,163,100,FALSE
BKK,BKK_28,105490,76.44591,185,100,FALSE
BKK,BKK_29,108688,75.8269,182,100,FALSE
BKK,BKK_3,88098,70.19425,214,100,FALSE
BKK,BKK_30,104742,74.55849,183,100,FALSE
BKK,BKK_31,110632,77.77676,238,100,FALSE
BKK,BKK_32,101615,71.26726,224,100,FALSE
BKK,BKK_33,109252,73.06751,227,100,FALSE
BKK,BKK_4,89246,68.53005,194,100,FALSE
BKK,BKK_5,99240,74.99717,204,100,FALSE
BKK,BKK_6,108114,73.37921,217,100,FALSE
BKK,BKK_7,99646,70.13323,198,100,FALSE
BKK,BKK_8,108228,75.76127,200,100,FALSE
BKK,BKK_9,107795,73.81045,194,100,FALSE
BKN,BKN_1,75682,73.32959,192,100,FALSE
BKN,BKN_2,76441,70.92581,231,100,FALSE
BKN,BKN_3,79628,68.19743,229,100,FALSE
BRM,BRM_1,90540,73.41041,253,100,FALSE
BRM,BRM_10,82599,68.72826,203,100,FALSE
BRM,BRM_2,88383,70.36191,260,100,FALSE
BRM,BRM_3,83920,67.59402,274,100,FALSE
BRM,BRM_4,82153,68.14792,249,100,FALSE
BRM,BRM_5,89915,68.29956,300,100,FALSE
BRM,BRM_6,86890,66.53955,297,100,FALSE
BRM,BRM_7,86864,71.29643,247,100,FALSE
BRM,BRM_8,92560,73.52918,265,100,FALSE
BRM,BRM_9,88326,69.89641,220,100,FALSE
CBI,CBI_1,104987,82.48248,149,100,FALSE
CBI,CBI_10,93252,70.6583,152,100,FALSE
CBI,CBI_2,88518,79.1378,122,100,FALSE
CBI,CBI_3,98964,84.22396,137,100,FALSE
CBI,CBI_4,94165,80.28186,153,100,FALSE
CBI,CBI_5,111292,84.69646,197,100,FALSE
CBI,CBI_6,101948,77.01571,141,100,FALSE
CBI,CBI_7,92544,78.13115,115,100,FALSE
CBI,CBI_8,94408,72.38989,152,100,FALSE
CBI,CBI_9,76391,66.05475,121,100,FALSE
CCO,CCO_1,122124,85.04753,240,100,FALSE
CCO,CCO_2,119211,83.10862,263,100,FALSE
CCO,CCO_3,120178,82.69887,248,100,FALSE
CCO,CCO_4,122385,84.63283,222,100,FALSE
CMI,CMI_1,108446,77.67225,220,100,FALSE
CMI,CMI_10,99914,83.3054,279,100,FALSE
CMI,CMI_2,115113,82.32883,236,100,FALSE
CMI,CMI_3,113609,84.23968,274,100,FALSE
CMI,CMI_4,114802,82.22167,218,100,FALSE
CMI,CMI_5,108428,81.79973,285,100,FALSE
CMI,CMI_6,96543,76.09001,274,100,FALSE
CMI,CMI_7,103047,77.66347,256,100,FALSE
CMI,CMI_8,118394,85.15961,282,100,FALSE
CMI,CMI_9,110009,87.31081,291,100,FALSE
CNT,CNT_1,101913,77.41678,247,100,FALSE
CNT,CNT_2,103343,79.05858,258,100,FALSE
CPM,CPM_1,96638,74.5445,260,100,FALSE
CPM,CPM_2,96809,72.19649,343,100,FALSE
CPM,CPM_3,89484,71.00383,298,100,FALSE
CPM,CPM_4,81576,67.87931,229,100,FALSE
CPM,CPM_5,93540,70.94103,265,100,FALSE
CPM,CPM_6,97337,72.44385,269,100,FALSE
CPM,CPM_7,89778,70.83859,284,100,FALSE
CPN,CPN_1,108261,79.75028,245,99.5935,FALSE
CPN,CPN_2,108613,80.58301,242,100,FALSE
CPN,CPN_3,101505,75.93474,257,100,FALSE
CRI,CRI_1,109475,79.98758,220,100,FALSE
CRI,CRI_2,103629,78.08798,260,100,FALSE
CRI,CRI_3,110706,79.07515,314,100,FALSE
CRI,CRI_4,113168,78.72776,366,100,FALSE
CRI,CRI_5,103456,78.10181,296,100,FALSE
CRI,CRI_6,87605,70.48662,235,100,FALSE
CRI,CRI_7,101295,75.6215,286,100,FALSE
CTI,CTI_1,114253,78.17998,278,100,FALSE
CTI,CTI_2,107992,76.65041,278,100,FALSE
CTI,CTI_3,106198,75.37814,278,100,FALSE
KBI,KBI_1,102097,83.16729,186,100,FALSE
KBI,KBI_2,93287,81.44491,189,100,FALSE
KBI,KBI_3,99452,82.91536,212,100,FALSE
KKN,KKN_1,96838,74.70627,179,100,FALSE
KKN,KKN_10,92271,68.40564,288,100,FALSE
KKN,KKN_11,94907,72.20777,248,100,FALSE
