cons_id,cons_no,prov_id,registered_vote,total_vote_stations,zone
ACR_1,1,ACR,145416,310,อำเภอเมืองอำนาจเจริญ
ACR_1,1,ACR,145416,310,อำเภอหัวตะพาน
ACR_2,2,ACR,155938,331,อำเภอเสนางคนิคม
ACR_2,2,ACR,155938,331,อำเภอชานุมาน
ACR_2,2,ACR,155938,331,อำเภอปทุมราชวงศา
ACR_2,2,ACR,155938,331,อำเภอพนา
ACR_2,2,ACR,155938,331,อำเภอลืออำนาจ
ATG_1,1,ATG,111917,239,อำเภอเมืองอ่างทอง
ATG_1,1,ATG,111917,239,อำเภอป่าโมก
ATG_1,1,ATG,111917,239,"อำเภอวิเศษชัยชาญ (ยกเว้นตำบลม่วงเตี้ย, ตำบลสาวร้องไห้)"
ATG_2,2,ATG,112739,253,อำเภอแสวงหา
ATG_2,2,ATG,112739,253,อำเภอโพธิ์ทอง
ATG_2,2,ATG,112739,253,อำเภอไชโย
ATG_2,2,ATG,112739,253,"อำเภอวิเศษชัยชาญ (เฉพาะตำบลม่วงเตี้ย, ตำบลสาวร้องไห้)"
ATG_2,2,ATG,112739,253,อำเภอสามโก้
AYA_1,1,AYA,138666,226,อำเภอบางบาล
AYA_1,1,AYA,138666,226,อำเภอพระนครศรีอยุธยา
AYA_2,2,AYA,127842,223,อำเภอท่าเรือ
AYA_2,2,AYA,127842,223,อำเภอนครหลวง
AYA_2,2,AYA,127842,223,อำเภอบางปะหัน
AYA_2,2,AYA,127842,223,อำเภอบ้านแพรก
AYA_2,2,AYA,127842,223,อำเภอมหาราช
AYA_3,3,AYA,130768,197,อำเภอภาชี
AYA_3,3,AYA,130768,197,อำเภอวังน้อย
AYA_3,3,AYA,130768,197,อำเภออุทัย
AYA_4,4,AYA,134329,201,อำเภอบางไทร
AYA_4,4,AYA,134329,201,อำเภอบางปะอิน
AYA_5,5,AYA,132826,213,อำเภอเสนา
AYA_5,5,AYA,132826,213,อำเภอบางซ้าย
AYA_5,5,AYA,132826,213,อำเภอผักไห่
AYA_5,5,AYA,132826,213,อำเภอลาดบัวหลวง
BKK_1,1,BKK,137544,239,เขตดุสิต (ยกเว้นแขวงถนนนครไชยศรี)
BKK_1,1,BKK,137544,239,เขตบางรัก
BKK_1,1,BKK,137544,239,เขตป้อมปราบศัตรูพ่าย
BKK_1,1,BKK,137544,239,เขตพระนคร
BKK_1,1,BKK,137544,239,เขตสัมพันธวงศ์
BKK_10,10,BKK,137201,185,เขตดอนเมือง
BKK_11,11,BKK,134130,166,เขตสายไหม (ยกเว้นแขวงออเงิน)
BKK_12,12,BKK,138407,175,เขตบางเขน (เฉพาะแขวงท่าแร้ง)
BKK_12,12,BKK,138407,175,เขตลาดพร้าว (เฉพาะแขวงจรเข้บัว)
BKK_12,12,BKK,138407,175,เขตสายไหม (เฉพาะแขวงออเงิน)
BKK_13,13,BKK,132505,190,เขตบึงกุ่ม (ยกเว้นแขวงคลองกุ่ม)
BKK_13,13,BKK,132505,190,เขตลาดพร้าว (ยกเว้นแขวงจรเข้บัว)
BKK_14,14,BKK,138993,191,เขตบางกะปิ
BKK_14,14,BKK,138993,191,เขตวังทองหลาง (เฉพาะแขวงคลองเจ้าคุณสิงห์)
BKK_15,15,BKK,127334,180,เขตคันนายาว
BKK_15,15,BKK,127334,180,เขตบึงกุ่ม (เฉพาะแขวงคลองกุ่ม)
BKK_16,16,BKK,131398,161,"เขตคลองสามวา (ยกเว้นแขวงสามวาตะวันออก, แขวงทรายกองดิน)"
BKK_17,17,BKK,114792,141,"เขตคลองสามวา (เฉพาะแขวงสามวาตะวันออก, แขวงทรายกองดิน)"
BKK_17,17,BKK,114792,141,"เขตหนองจอก (ยกเว้นแขวงโคกแฝด, แขวงลำผักชี, แขวงลำต้อยติ่ง)"
BKK_18,18,BKK,116769,144,เขตมีนบุรี (เฉพาะแขวงแสนแสบ)
BKK_18,18,BKK,116769,144,เขตลาดกระบัง (เฉพาะแขวงลำปลาทิว)
BKK_18,18,BKK,116769,144,"เขตหนองจอก (เฉพาะแขวงโคกแฝด, แขวงลำผักชี, แขวงลำต้อยติ่ง)"
BKK_19,19,BKK,133279,185,เขตมีนบุรี (ยกเว้นแขวงแสนแสบ)
BKK_19,19,BKK,133279,185,เขตสะพานสูง (ยกเว้นแขวงทับช้าง)
BKK_2,2,BKK,140711,229,เขตปทุมวัน
BKK_2,2,BKK,140711,229,เขตราชเทวี
BKK_2,2,BKK,140711,229,เขตสาทร
BKK_20,20,BKK,122467,167,เขตลาดกระบัง (ยกเว้นแขวงลำปลาทิว)
BKK_21,21,BKK,131747,180,เขตประเวศ (ยกเว้นแขวงหนองบอน)
BKK_21,21,BKK,131747,180,เขตสะพานสูง (เฉพาะแขวงทับช้าง)
BKK_22,22,BKK,132202,200,เขตประเวศ (เฉพาะแขวงหนองบอน)
BKK_22,22,BKK,132202,200,เขตสวนหลวง
BKK_23,23,BKK,145175,226,เขตบางนา
BKK_23,23,BKK,145175,226,เขตพระโขนง
BKK_24,24,BKK,144159,230,เขตคลองสาน
