cons_id,mp_app_id,mp_app_rank,mp_app_vote,mp_app_vote_percent,party_id
ACR_1,ACR_1_1,9,459,0.43477,706
ACR_1,ACR_1_10,1,38275,36.25419,709
ACR_1,ACR_1_11,13,126,0.11935,712
ACR_1,ACR_1_12,12,127,0.12029,742
ACR_1,ACR_1_13,11,212,0.20081,761
ACR_1,ACR_1_2,10,234,0.22165,769
ACR_1,ACR_1_3,6,2701,2.5584,763
ACR_1,ACR_1_4,8,668,0.63273,719
ACR_1,ACR_1_5,4,15926,15.08515,701
ACR_1,ACR_1_6,3,16724,15.84102,726
ACR_1,ACR_1_7,7,1281,1.21337,762
ACR_1,ACR_1_8,2,21388,20.25878,705
ACR_1,ACR_1_9,5,2825,2.67585,743
ACR_2,ACR_2_1,2,19188,17.1608,726
ACR_2,ACR_2_10,1,46881,41.92804,709
ACR_2,ACR_2_11,11,193,0.17261,742
ACR_2,ACR_2_12,12,173,0.15472,770
ACR_2,ACR_2_2,6,2027,1.81285,762
ACR_2,ACR_2_3,3,17637,15.77366,705
ACR_2,ACR_2_4,10,197,0.17619,712
ACR_2,ACR_2_5,5,2530,2.26271,701
ACR_2,ACR_2_6,8,519,0.46417,719
ACR_2,ACR_2_7,7,1156,1.03387,763
ACR_2,ACR_2_8,9,378,0.33806,769
ACR_2,ACR_2_9,4,16009,14.31766,743
ATG_1,ATG_1_1,3,15591,17.37043,726
ATG_1,ATG_1_2,8,254,0.28299,719
ATG_1,ATG_1_3,4,1599,1.7815,763
ATG_1,ATG_1_4,6,481,0.5359,701
ATG_1,ATG_1_5,5,617,0.68742,743
ATG_1,ATG_1_6,7,359,0.39997,769
ATG_1,ATG_1_7,2,20828,23.20513,705
ATG_1,ATG_1_8,1,44725,49.82954,709
ATG_2,ATG_2_1,4,1270,1.38849,763
ATG_2,ATG_2_2,8,206,0.22522,719
ATG_2,ATG_2_3,9,171,0.18695,733
ATG_2,ATG_2_4,2,21459,23.46118,705
ATG_2,ATG_2_5,5,788,0.86152,743
ATG_2,ATG_2_6,3,11206,12.25155,726
ATG_2,ATG_2_7,6,648,0.70846,701
ATG_2,ATG_2_8,1,47232,51.63886,709
ATG_2,ATG_2_9,7,288,0.31487,769
AYA_1,AYA_1_1,6,1014,0.91917,701
AYA_1,AYA_1_10,10,98,0.08883,738
AYA_1,AYA_1_2,4,6677,6.05256,763
AYA_1,AYA_1_3,8,621,0.56292,762
AYA_1,AYA_1_4,9,364,0.32996,769
AYA_1,AYA_1_5,3,15289,13.85915,705
AYA_1,AYA_1_6,5,1250,1.1331,743
AYA_1,AYA_1_7,1,41081,37.23905,726
AYA_1,AYA_1_8,2,35676,32.33953,709
AYA_1,AYA_1_9,7,751,0.68077,719
AYA_2,AYA_2_1,2,26804,25.06335,709
AYA_2,AYA_2_10,9,276,0.25808,719
AYA_2,AYA_2_2,8,446,0.41704,769
AYA_2,AYA_2_3,5,4370,4.08621,763
AYA_2,AYA_2_4,7,532,0.49745,739
AYA_2,AYA_2_5,1,27467,25.6833,726
AYA_2,AYA_2_6,3,24683,23.08009,743
AYA_2,AYA_2_7,10,0,0,771
AYA_2,AYA_2_8,6,793,0.7415,701
AYA_2,AYA_2_9,4,14855,13.89032,705
AYA_3,AYA_3_1,8,433,0.4013,701
AYA_3,AYA_3_10,10,137,0.12697,769
AYA_3,AYA_3_2,4,3374,3.12703,763
AYA_3,AYA_3_3,1,47117,43.66809,709
AYA_3,AYA_3_4,9,290,0.26877,762
AYA_3,AYA_3_5,7,646,0.59871,719
AYA_3,AYA_3_6,5,2120,1.96482,743
AYA_3,AYA_3_7,6,911,0.84432,734
AYA_3,AYA_3_8,2,34584,32.05249,726
AYA_3,AYA_3_9,3,13061,12.10495,705
AYA_4,AYA_4_1,8,338,0.29661,769
AYA_4,AYA_4_2,6,414,0.3633,743
AYA_4,AYA_4_3,4,2939,2.57907,763
