cons_id,party_id,party_list_vote,party_list_vote_percent
ACR_1,701,4550,4.30977
ACR_1,702,185,0.17523
ACR_1,703,67,0.06346
ACR_1,705,33576,31.80328
ACR_1,706,132,0.12503
ACR_1,707,76,0.07199
ACR_1,708,1723,1.63203
ACR_1,709,9761,9.24565
ACR_1,710,13,0.01231
ACR_1,712,408,0.38646
ACR_1,714,298,0.28227
ACR_1,715,24,0.02273
ACR_1,717,10,0.00947
ACR_1,718,28,0.02652
ACR_1,719,1168,1.10633
ACR_1,721,134,0.12693
ACR_1,722,32,0.03031
ACR_1,723,8,0.00758
ACR_1,724,23,0.02179
ACR_1,725,32,0.03031
ACR_1,726,33892,32.1026
ACR_1,727,298,0.28227
ACR_1,728,47,0.04452
ACR_1,729,18,0.01705
ACR_1,731,112,0.10609
ACR_1,732,110,0.10419
ACR_1,733,109,0.10325
ACR_1,734,76,0.07199
ACR_1,736,430,0.4073
ACR_1,737,9,0.00852
ACR_1,738,949,0.8989
ACR_1,739,17,0.0161
ACR_1,740,139,0.13166
ACR_1,741,26,0.02463
ACR_1,742,36,0.0341
ACR_1,743,942,0.89227
ACR_1,745,12,0.01137
ACR_1,747,219,0.20744
ACR_1,748,111,0.10514
ACR_1,749,104,0.09851
ACR_1,750,35,0.03315
ACR_1,751,7,0.00663
ACR_1,752,119,0.11272
ACR_1,755,33,0.03126
ACR_1,758,168,0.15913
ACR_1,761,672,0.63652
ACR_1,762,553,0.5238
ACR_1,763,7109,6.73367
ACR_1,764,136,0.12882
ACR_1,765,24,0.02273
ACR_1,767,30,0.02842
ACR_1,768,32,0.03031
ACR_1,769,197,0.1866
ACR_1,770,27,0.02557
ACR_1,771,104,0.09851
ACR_1,773,371,0.35141
ACR_1,774,104,0.09851
ACR_1,775,26,0.02463
ACR_1,776,131,0.12408
ACR_1,777,85,0.08051
ACR_1,778,211,0.19986
ACR_1,779,493,0.46697
ACR_1,780,133,0.12598
ACR_1,781,325,0.30784
ACR_1,783,11,0.01042
