province_id,prov_id,province,region,eng,abbre_thai,total_registered_vote,total_vote_stations,vote_per_station
10,BKK,กรุงเทพมหานคร,central,BANGKOK,กทม,4479155,6360,704
12,NBI,นนทบุรี,central,NONTHABURI,นบ,1056364,1308,808
13,PTE,ปทุมธานี,central,PATHUM THANI,ปท,960641,1422,676
14,AYA,พระนครศรีอยุธยา,central,PHRA NAKHON SI AYUTTHAYA,อย,664431,1060,627
15,ATG,อ่างทอง,central,ANG THONG,อท,224656,492,457
16,LRI,ลพบุรี,central,LOP BURI,ลบ,598151,1033,579
17,SBR,สิงห์บุรี,central,SING BURI,สห,168055,213,789
18,CNT,ชัยนาท,central,CHAI NAT,ชน,262359,505,520
19,SRI,สระบุรี,central,SARABURI,สบ,509018,759,671
11,SPK,สมุทรปราการ,east,SAMUT PRAKAN,สป,1086284,1438,755
20,CBI,ชลบุรี,east,CHON BURI,ชบ,1234192,1439,858
21,RYG,ระยอง,east,RAYONG,รย,587660,803,732
22,CTI,จันทบุรี,east,CHANTHABURI,จบ,427917,834,513
23,TRT,ตราด,east,TRAT,ตร,175112,314,558
24,CCO,ฉะเชิงเทรา,east,CHACHOENGSAO,ฉช,576962,973,593
25,PRI,ปราจีนบุรี,east,PRACHIN BURI,ปจ,394789,765,516
26,NYK,นครนายก,east,NAKHON NAYOK,นย,209962,460,456
27,SKW,สระแก้ว,east,SA KAEO,สก,437612,800,547
50,CMI,เชียงใหม่,north,CHIANG MAI,ชม,1331007,2615,509
51,LPN,ลำพูน,north,LAMPHUN,ลพ,333846,687,486
52,LPG,ลำปาง,north,LAMPANG,ลป,612603,1187,516
53,UTT,อุตรดิตถ์,north,UTTARADIT,อต,368323,732,503
54,PRE,แพร่,north,PHRAE,พร,366015,774,473
55,NAN,น่าน,north,NAN,นน,389371,929,419
56,PYO,พะเยา,north,PHAYAO,พย,386807,862,449
57,CRI,เชียงราย,north,CHIANG RAI,ชร,944019,1977,478
58,MSN,แม่ฮ่องสอน,north,MAE HONG SON,มส,180959,463,391
60,NSN,นครสวรรค์,north,NAKHON SAWAN,นว,839746,1630,515
61,UTI,อุทัยธานี,north,UTHAI THANI,อน,260983,617,423
62,KPT,กำแพงเพชร,north,KAMPHAENG PHET,กพ,567999,1123,506
63,TAK,ตาก,north,TAK,ตก,404274,683,592
64,STI,สุโขทัย,north,SUKHOTHAI,สท,479558,980,489
65,PLK,พิษณุโลก,north,PHITSANULOK,พล,686536,1277,538
66,PCT,พิจิตร,north,PHICHIT,พจ,428861,1008,425
67,PNB,เพชรบูรณ์,north,PHETCHABUN,พช,784388,1647,476
30,NMA,นครราชสีมา,northeast,NAKHON RATCHASIMA,นม,2120399,4487,473
31,BRM,บุรีรัมย์,northeast,BURI RAM,บร,1250148,2568,487
32,SRN,สุรินทร์,northeast,SURIN,สร,1090337,2189,498
33,SSK,ศรีสะเกษ,northeast,SI SA KET,ศก,1162288,2750,423
34,UBN,อุบลราชธานี,northeast,UBON RATCHATHANI,อบ,1473971,3027,487
35,YST,ยโสธร,northeast,YASOTHON,ยส,432872,905,478
36,CPM,ชัยภูมิ,northeast,CHAIYAPHUM,ชย,902888,1948,463
