cons_id,mp_app_id,mp_app_rank,mp_app_vote,percent,party_id
ACR_1,ACR_1_10,1,38275,37.92,709
ACR_1,ACR_1_8,2,21388,21.19,705
ACR_1,ACR_1_6,3,16724,16.57,726
ACR_1,ACR_1_5,4,15926,15.78,701
ACR_1,ACR_1_9,5,2825,2.8,743
ACR_1,ACR_1_3,6,2701,2.68,763
ACR_1,ACR_1_7,7,1281,1.27,762
ACR_1,ACR_1_4,8,668,0.66,719
ACR_1,ACR_1_1,9,459,0.45,706
ACR_1,ACR_1_2,10,234,0.23,769
ACR_1,ACR_1_13,11,212,0.21,761
ACR_1,ACR_1_12,12,127,0.13,742
ACR_1,ACR_1_11,13,126,0.12,712
ACR_2,ACR_2_10,1,46881,43.86,709
ACR_2,ACR_2_1,2,19188,17.95,726
ACR_2,ACR_2_3,3,17637,16.5,705
ACR_2,ACR_2_9,4,16009,14.98,743
ACR_2,ACR_2_5,5,2530,2.37,701
ACR_2,ACR_2_2,6,2027,1.9,762
ACR_2,ACR_2_7,7,1156,1.08,763
ACR_2,ACR_2_6,8,519,0.49,719
ACR_2,ACR_2_8,9,378,0.35,769
ACR_2,ACR_2_4,10,197,0.18,712
ACR_2,ACR_2_11,11,193,0.18,742
ACR_2,ACR_2_12,12,173,0.16,770
ATG_1,ATG_1_8,1,44780,52.93,709
ATG_1,ATG_1_7,2,20886,24.69,705
ATG_1,ATG_1_1,3,15614,18.46,726
ATG_1,ATG_1_3,4,1602,1.89,763
ATG_1,ATG_1_5,5,618,0.73,743
ATG_1,ATG_1_4,6,482,0.57,701
ATG_1,ATG_1_6,7,359,0.42,769
ATG_1,ATG_1_2,8,254,0.3,719
ATG_2,ATG_2_8,1,47887,55.59,709
ATG_2,ATG_2_4,2,22071,25.62,705
ATG_2,ATG_2_6,3,12501,14.51,726
ATG_2,ATG_2_1,4,1417,1.64,763
ATG_2,ATG_2_5,5,816,0.95,743
ATG_2,ATG_2_7,6,709,0.82,701
ATG_2,ATG_2_9,7,308,0.36,769
ATG_2,ATG_2_2,8,241,0.28,719
ATG_2,ATG_2_3,9,194,0.23,733
AYA_1,AYA_1_7,1,41081,39.95,726
AYA_1,AYA_1_8,2,35676,34.7,709
AYA_1,AYA_1_5,3,15289,14.87,705
AYA_1,AYA_1_2,4,6677,6.49,763
