,CandidateSum,Candidate_Err,Candidate_NoVote,PartyListSum,PartyList_Err,PartyList_NoVote
ACR_1,100946,3359,1269,,,
ACR_2,106888,3824,1101,,,
ATG_1,84595,3263,2059,,,
ATG_2,86144,3805,1517,,,
AYA_1,102821,3578,3918,,,
AYA_2,100226,4330,2389,,,
AYA_3,102673,3296,1929,,,
AYA_4,109107,2901,1947,,,
AYA_5,101511,3775,1944,,,
BKK_1,90092,1259,3056,,,
BKK_10,99736,1373,2993,,,
BKK_11,99116,1276,2221,,,
BKK_12,101975,1187,3248,,,
BKK_13,96249,1032,3101,,,
BKK_14,97891,1193,2787,,,
BKK_15,92171,1178,2585,,,
BKK_16,97752,1309,2724,,,
BKK_17,81898,1735,2197,,,
BKK_18,85070,1967,2585,,,
BKK_19,96535,1292,3401,,,
BKK_2,92198,1368,3426,,,
BKK_20,86092,1680,2490,,,
BKK_21,95539,1314,2325,,,
BKK_22,92651,1268,3145,,,
BKK_23,101343,1265,3361,,,
BKK_24,97818,1615,3649,,,
BKK_25,88869,1313,2760,,,
BKK_26,96708,1944,2659,,,
BKK_27,97753,1472,1919,,,
BKK_28,101245,1836,2408,,,
BKK_29,103561,2089,3037,,,
BKK_3,84283,1130,2685,,,
BKK_30,99788,1724,3230,,,
BKK_31,105309,1615,3708,,,
BKK_32,96402,1772,3441,,,
BKK_33,104231,1811,3210,,,
BKK_4,85368,1392,2485,,,
BKK_5,95078,1218,2944,,,
BKK_6,103314,1444,3355,,,
BKK_7,94975,1295,3374,,,
BKK_8,103549,1040,3638,,,
BKK_9,101921,1925,3949,,,
BKN_1,72241,2582,858,,,
BKN_2,73052,2560,829,,,
BKN_3,75394,3236,998,,,
BRM_1,83708,4720,2090,,,
BRM_10,76999,4400,1200,,,
BRM_2,82284,4480,1610,,,
BRM_3,78061,4778,1081,,,
BRM_4,77059,4262,832,,,
BRM_5,84322,4158,1435,,,
BRM_6,81612,3825,1688,,,
BRM_7,81882,3916,1065,,,
BRM_8,86139,4582,1839,,,
BRM_9,83019,4306,1001,,,
