cons_id,party_id,party_list_vote,party_list_vote_percent
ACR_1,701,4550,4.30977
ACR_2,701,2362,2.11246
ATG_1,701,748,0.83226
ATG_2,701,559,0.61116
AYA_1,701,1019,0.9237
AYA_2,701,962,0.89953
AYA_3,701,719,0.66637
AYA_4,701,819,0.7187
AYA_5,701,868,0.80947
BKK_1,701,3573,3.78468
BKK_10,701,2848,2.73591
BKK_11,701,1210,1.17919
BKK_12,701,2675,2.51386
BKK_13,701,2394,2.38489
BKK_14,701,1933,1.8975
BKK_15,701,1782,1.85751
BKK_16,701,2731,2.68311
BKK_17,701,1340,1.56123
BKK_18,701,1278,1.53329
BKK_19,701,1876,1.85324
BKK_2,701,2719,2.80332
BKK_20,701,1351,1.49675
BKK_21,701,3255,3.28191
BKK_22,701,3025,3.11647
BKK_23,701,2307,2.17705
BKK_24,701,3116,3.02284
BKK_25,701,2013,2.16587
BKK_26,701,2953,2.91479
BKK_27,701,4103,4.05659
BKK_28,701,3227,3.05906
BKK_29,701,2340,2.15295
BKK_3,701,3030,3.43935
BKK_30,701,2033,1.94096
BKK_31,701,2515,2.2733
BKK_32,701,2891,2.84505
BKK_33,701,6800,6.22414
BKK_4,701,3542,3.96881
BKK_5,701,1782,1.79565
BKK_6,701,2342,2.16623
BKK_7,701,1743,1.74919
BKK_8,701,3134,2.89574
BKK_9,701,1842,1.7088
BKN_1,701,343,0.45321
BKN_2,701,250,0.32705
BKN_3,701,371,0.46592
BRM_1,701,540,0.59642
BRM_10,701,616,0.74577
BRM_2,701,382,0.43221
BRM_3,701,325,0.38727
BRM_4,701,419,0.51002
BRM_5,701,491,0.54607
BRM_6,701,478,0.55012
BRM_7,701,420,0.48351
BRM_8,701,648,0.70009
BRM_9,701,506,0.57288
CBI_1,701,791,0.75343
CBI_10,701,898,0.96298
CBI_2,701,701,0.79193
CBI_3,701,730,0.73764
CBI_4,701,1384,1.46976
CBI_5,701,965,0.86709
CBI_6,701,874,0.8573
CBI_7,701,595,0.64294
CBI_8,701,844,0.89399
CBI_9,701,496,0.64929
CCO_1,701,1319,1.08005
CCO_2,701,1690,1.41765
CCO_3,701,800,0.66568
CCO_4,701,1056,0.86285
CMI_1,701,1145,1.05583
CMI_10,701,634,0.63455
CMI_2,701,956,0.83049
CMI_3,701,722,0.63551
CMI_4,701,1032,0.89894
CMI_5,701,818,0.75442
CMI_6,701,582,0.60284
CMI_7,701,1017,0.98693
CMI_8,701,672,0.5676
CMI_9,701,756,0.68722
CNT_1,701,1201,1.17846
CNT_2,701,866,0.83799
CPM_1,701,647,0.66951
CPM_2,701,968,0.99991
CPM_3,701,470,0.52523
CPM_4,701,400,0.49034
CPM_5,701,913,0.97605
CPM_6,701,631,0.64826
CPM_7,701,450,0.50124
CPN_1,701,7670,7.08473
CPN_2,701,6414,5.90537
CPN_3,701,9334,9.19561
CRI_1,701,672,0.61384
CRI_2,701,438,0.42266
CRI_3,701,621,0.56095
CRI_4,701,498,0.44005
CRI_5,701,745,0.72011
CRI_6,701,424,0.48399
CRI_7,701,405,0.39982
CTI_1,701,2991,2.61787
CTI_2,701,5474,5.06889
CTI_3,701,1839,1.73167
KBI_1,701,13056,12.78784
KBI_2,701,9625,10.31762
KBI_3,701,11689,11.75341
KKN_1,701,944,0.97482
KKN_10,701,414,0.44868
KKN_11,701,541,0.57003
KKN_2,701,774,0.72868
KKN_3,701,412,0.42586
KKN_4,701,531,0.53779
KKN_5,701,448,0.5144
KKN_6,701,478,0.52573
KKN_7,701,606,0.61783
KKN_8,701,703,0.68823
KKN_9,701,436,0.49883
KPT_1,701,1245,1.17436
KPT_2,701,1443,1.36557
KPT_3,701,1673,1.76842
KPT_4,701,1156,1.18371
KRI_1,701,1219,1.15302
KRI_2,701,3959,3.6752
KRI_3,701,1444,1.27611
KRI_4,701,607,0.82836
KRI_5,701,925,1.08121
KSN_1,701,532,0.56258
KSN_2,701,452,0.49793
KSN_3,701,831,0.9707
KSN_4,701,673,0.7082
KSN_5,701,611,0.62946
KSN_6,701,481,0.50722
LEI_1,701,1000,1.03627
LEI_2,701,617,0.661
LEI_3,701,1152,1.16641
LEI_4,701,1028,1.09848
LPG_1,701,1160,0.96214
LPG_2,701,922,0.77091
LPG_3,701,869,0.71917
LPG_4,701,646,0.52894
LPN_1,701,1793,1.22668
LPN_2,701,1518,1.07222
LRI_1,701,1570,1.67388
LRI_2,701,930,0.97392
LRI_3,701,851,0.87216
LRI_4,701,766,0.85313
LRI_5,701,695,0.77033
MDH_1,701,564,0.53095
MDH_2,701,660,0.64116
MKM_1,701,671,0.69903
MKM_2,701,480,0.5331
MKM_3,701,557,0.60516
MKM_4,701,596,0.67156
MKM_5,701,690,0.71885
MKM_6,701,539,0.55129
MSN_1,701,1703,2.39414
MSN_2,701,3439,4.47827
NAN_1,701,1289,1.15148
NAN_2,701,1143,1.11002
NAN_3,701,661,0.70598
NBI_1,701,1669,1.55837
NBI_2,701,1349,1.41378
NBI_3,701,1625,1.53409
NBI_4,701,1468,1.52374
NBI_5,701,1737,2.48244
NBI_6,701,1462,1.3639
NBI_7,701,2836,2.84627
NBI_8,701,1558,1.50975
NBP_1,701,503,0.52418
NBP_2,701,408,0.45863
NBP_3,701,469,0.53768
NKI_1,701,660,0.67984
NKI_2,701,198,0.22791
NKI_3,701,379,0.45664
NMA_1,701,600,0.59657
NMA_10,701,603,0.52571
NMA_11,701,459,0.44795
NMA_12,701,634,0.607
NMA_13,701,539,0.57208
NMA_14,701,1705,1.76776
NMA_15,701,549,0.51573
NMA_16,701,975,0.99771
NMA_2,701,527,0.49191
NMA_3,701,620,0.58781
NMA_4,701,654,0.63091
NMA_5,701,600,0.58751
NMA_6,701,782,0.84995
NMA_7,701,507,0.55485
NMA_8,701,1318,1.3441
NMA_9,701,1354,1.35142
NPM_1,701,700,0.69801
NPM_2,701,314,0.3143
NPM_3,701,291,0.29716
NPM_4,701,332,0.3324
NPT_1,701,1066,0.99766
NPT_2,701,1266,1.26816
NPT_3,701,822,0.84515
NPT_4,701,2000,1.86642
NPT_5,701,1139,1.04873
NPT_6,701,1238,1.26909
NSN_1,701,3035,2.86867
NSN_2,701,1322,1.23286
NSN_3,701,1231,1.12868
NSN_4,701,686,0.65504
NSN_5,701,1021,0.97349
NSN_6,701,1149,1.18082
NST_1,701,4909,5.40538
NST_10,701,7435,7.74786
NST_2,701,7599,7.70291
NST_3,701,5251,5.55814
NST_4,701,2667,2.84162
NST_5,701,15128,15.9378
NST_6,701,3842,100.49699
NST_7,701,5570,6.16805
NST_8,701,5669,6.29791
NST_9,701,8427,9.32386
NWT_1,701,1130,1.14383
NWT_2,701,4709,5.77112
NWT_3,701,635,0.78968
NWT_4,701,1048,1.22466
NWT_5,701,595,0.62107
NYK_1,701,1588,1.87629
NYK_2,701,1572,1.76683
PBI_1,701,4230,4.03591
PBI_2,701,1937,1.7047
PBI_3,701,1686,1.53075
PCT_1,701,2381,2.18018
PCT_2,701,8202,8.15219
PCT_3,701,1490,1.40882
PKN_1,701,11112,9.70658
PKN_2,701,15328,13.88267
PKN_3,701,7249,7.00549
PKT_1,701,4607,6.04768
PKT_2,701,3810,5.07513
PKT_3,701,5046,6.01961
PLG_1,701,11765,10.3286
PLG_2,701,6858,5.60573
PLG_3,701,15844,13.61976
PLK_1,701,1824,1.73959
PLK_2,701,1242,1.09937
PLK_3,701,1075,1.06989
PLK_4,701,743,1.0503
PLK_5,701,922,0.93365
PNA_1,701,6319,8.15955
PNA_2,701,6185,7.35793
PNB_1,701,1050,1.08663
PNB_2,701,1209,1.21605
PNB_3,701,7494,7.70528
PNB_4,701,632,0.73013
PNB_5,701,736,0.80933
PNB_6,701,821,0.87581
PRE_1,701,555,0.54493
PRE_2,701,402,0.60883
PRE_3,701,635,0.71279
PRI_1,701,966,0.93649
PRI_2,701,1128,1.07847
PRI_3,701,151,0.14862
PTE_1,701,1090,0.99985
PTE_2,701,1320,1.2164
PTE_3,701,829,0.8309
PTE_4,701,1139,1.0727
PTE_5,701,1049,0.90684
PTE_6,701,1303,1.15368
PTE_7,701,1042,0.92492
PTN_1,701,2818,3.74505
PTN_2,701,3166,3.75261
PTN_3,701,1248,1.79672
PTN_4,701,2241,2.67139
PTN_5,701,138,0.41669
PYO_1,701,838,0.82401
PYO_2,701,665,0.67038
PYO_3,701,753,0.72916
RBR_1,701,1630,1.48804
RBR_2,701,2200,2.08545
RBR_3,701,2186,1.8332
RBR_4,701,5635,4.84552
RBR_5,701,1690,1.47222
RET_1,701,811,0.83216
RET_2,701,601,1.18721
RET_3,701,448,0.49652
RET_4,701,365,0.41784
RET_5,701,404,0.45713
RET_6,701,422,0.47769
RET_7,701,327,0.35436
RET_8,701,409,0.43794
RNG_1,701,3570,3.3697
RYG_1,701,5864,6.34124
RYG_2,701,6154,7.30549
RYG_3,701,5656,5.92127
RYG_4,701,5524,6.0152
RYG_5,701,2998,3.31201
SBR_1,701,1001,0.7652
SKA_1,701,12494,12.21489
SKA_2,701,7202,8.32832
SKA_3,701,17456,16.19956
SKA_4,701,10753,10.45666
SKA_5,701,13270,12.85977
SKA_6,701,15871,17.12525
SKA_7,701,13657,13.74303
SKA_8,701,13354,13.70808
SKA_9,701,9921,9.25346
SKM_1,701,3465,2.86876
SKN_1,701,2955,2.51719
SKN_2,701,1678,1.48692
SKN_3,701,2213,1.93897
SKW_1,701,881,0.81762
SKW_2,701,665,0.64561
SKW_3,701,810,0.73644
SNI_1,701,4137,4.6722
SNI_2,701,4837,5.70596
SNI_3,701,6413,6.92526
SNI_4,701,7061,7.88533
SNI_5,701,6649,7.65749
SNI_6,701,6892,7.12418
SNI_7,701,6829,7.51422
SNK_1,701,624,0.64835
SNK_2,701,1665,1.83207
SNK_3,701,1217,1.31893
SNK_4,701,1692,1.91533
SNK_5,701,485,0.5932
SNK_6,701,2304,2.75496
SNK_7,701,453,0.5468
SPB_1,701,510,0.5008
SPB_2,701,452,0.46302
SPB_3,701,1779,1.69927
SPB_4,701,466,0.42892
SPB_5,701,624,0.54656
SPK_1,701,1069,1.06713
SPK_2,701,898,0.90388
SPK_3,701,1268,1.19355
SPK_4,701,1201,1.17965
SPK_5,701,1135,0.94603
SPK_6,701,969,0.94496
SPK_7,701,766,0.67313
SPK_8,701,959,0.84676
SRI_1,701,1886,1.81899
SRI_2,701,1087,0.99041
SRI_3,701,1200,1.1598
SRI_4,701,994,0.95817
SRN_1,701,1166,1.16213
SRN_2,701,766,0.75633
SRN_3,701,604,0.63699
SRN_4,701,552,0.59208
SRN_5,701,498,0.56133
SRN_6,701,486,0.54487
SRN_7,701,673,0.69566
SRN_8,701,549,0.60179
SSK_1,701,799,0.79448
SSK_2,701,502,0.57099
SSK_3,701,449,0.49968
SSK_4,701,554,0.63961
SSK_5,701,500,0.56929
SSK_6,701,522,0.58309
SSK_7,701,313,0.35928
SSK_8,701,452,0.46378
SSK_9,701,678,0.68722
STI_1,701,1332,1.49398
STI_2,701,3542,4.19803
STI_3,701,1009,1.10099
STI_4,701,1334,1.48657
STN_1,701,4687,5.28726
STN_2,701,4559,4.3219
TAK_1,701,3915,3.50455
TAK_2,701,1226,1.29497
TAK_3,701,2546,2.57698
TRG_1,701,6935,6.79456
TRG_2,701,14275,13.62118
TRG_3,701,7985,8.35146
TRG_4,701,6734,6.60235
TRT_1,701,4189,3.23026
UBN_1,701,1092,1.04743
UBN_10,701,658,0.64911
UBN_11,701,607,0.64886
UBN_2,701,11853,11.8695
UBN_3,701,3984,3.84159
UBN_4,701,682,0.62319
UBN_5,701,761,0.81505
UBN_6,701,993,1.1192
UBN_7,701,830,0.90272
UBN_8,701,1147,1.18488
UBN_9,701,480,0.55454
UDN_1,701,807,0.89081
UDN_10,701,961,1.15765
UDN_2,701,457,0.47971
UDN_3,701,260,0.31337
UDN_4,701,337,0.41895
UDN_5,701,285,0.38855
UDN_6,701,464,0.54837
UDN_7,701,416,0.49526
UDN_8,701,405,0.49192
UDN_9,701,628,0.73214
UTI_1,701,1803,1.95608
UTI_2,701,1287,1.37249
UTT_1,701,894,0.9888
UTT_2,701,766,0.85201
UTT_3,701,740,0.80014
YLA_1,701,5484,5.52667
